Frame Index ,Area (microns^2) ,Centroid X (microns) ,Centroid Y (microns) ,Width (microns) ,Height (microns) ,Aspect Ratio ,Solidity
         84 ,      51178500.0 ,                 620 ,                1020 ,            450 ,             580 ,      0.7759 ,  0.9835
         85 ,      77265000.0 ,                 660 ,                1280 ,            520 ,             750 ,      0.6933 ,  0.9864
         86 ,      98838000.0 ,                 630 ,                1430 ,            590 ,             830 ,      0.7108 ,  0.9847
         87 ,      91188000.0 ,                 620 ,                1570 ,            570 ,             800 ,      0.7125 ,  0.9846
         88 ,      57324000.0 ,                 600 ,                 200 ,            560 ,             480 ,      1.1667 ,  0.9866
         90 ,      54060000.0 ,                 630 ,                 280 ,            430 ,             590 ,      0.7288 ,  0.9791
         91 ,      64005000.0 ,                 660 ,                1510 ,            490 ,             670 ,      0.7313 ,  0.985
         92 ,      53269500.0 ,                 610 ,                1610 ,            440 ,             620 ,      0.7097 ,  0.9808
         93 ,      46639500.0 ,                 640 ,                1200 ,            380 ,             640 ,      0.5938 ,  0.9755
         94 ,      57375000.0 ,                 650 ,                1620 ,            430 ,             690 ,      0.6232 ,  0.9844
         95 ,      61327500.0 ,                 610 ,                1510 ,            470 ,             670 ,      0.7015 ,  0.9822
         96 ,      50133000.0 ,                 620 ,                1090 ,            460 ,             560 ,      0.8214 ,  0.9786
         97 ,      44905500.0 ,                 690 ,                1060 ,            420 ,             570 ,      0.7368 ,  0.9795
         98 ,      74689500.0 ,                 650 ,                1930 ,            480 ,             780 ,      0.6154 ,  0.9839
         99 ,      69334500.0 ,                 620 ,                 350 ,            470 ,             720 ,      0.6528 ,  0.9808
        100 ,     101643000.0 ,                 640 ,                1440 ,            550 ,             930 ,      0.5914 ,  0.984
        103 ,      61710000.0 ,                 610 ,                 540 ,            430 ,             710 ,      0.6056 ,  0.9784
        104 ,      39550500.0 ,                 610 ,                2060 ,            400 ,             510 ,      0.7843 ,  0.9828
        105 ,      42024000.0 ,                 600 ,                 440 ,            420 ,             520 ,      0.8077 ,  0.9787
